,All people aged 3 and over,Proficiency in spoken English: Speaks well or very well,Proficiency in spoken English: Does not speak well,Proficiency in spoken English: Does not speak at all,Gaelic: Can speak Gaelic,Scots: Can speak Scots,Language other than English used at home: English only,Language other than English used at home: Gaelic,Language other than English used at home: Scots,Language other than English used at home: British Sign Language,Language other than English used at home: Polish,Language other than English used at home: Other
S01000454,427,419,8,-,5,254,382,3,36,-,-,6
S01000455,822,819,3,-,9,420,756,-,43,3,8,12
S01000456,"1,078","1,065",10,3,6,567,959,1,83,2,4,29
S01000457,803,791,11,1,3,491,706,-,79,2,1,15
S01000458,903,901,2,-,5,365,849,-,33,-,2,19
S01000459,982,963,15,4,6,571,851,2,89,1,9,30
S01000460,675,651,22,2,2,499,604,-,62,1,-,8
S01000461,832,817,14,1,1,498,746,-,67,1,1,17
S01000462,"1,002",973,23,6,5,595,877,-,82,6,3,34
S01000463,692,672,15,5,2,363,612,-,50,1,3,26
S01000464,823,812,10,1,4,402,708,-,79,3,-,33
S01000465,645,637,7,1,1,263,588,-,38,-,6,13
S01000466,860,829,25,6,2,425,766,-,60,6,-,28
S01000467,595,590,5,-,-,356,538,-,48,-,-,9
S01000468,528,523,5,-,4,293,480,-,41,2,-,5
S01000469,629,625,4,-,-,370,585,-,34,1,-,9
S01000470,"1,041","1,031",9,1,8,639,960,3,54,1,7,16
S01000471,800,789,11,-,3,433,758,1,35,-,-,6
S01000472,727,710,16,1,1,426,664,-,36,-,8,19
S01000473,643,623,16,4,5,369,581,2,31,4,6,19
S01000474,601,596,4,1,2,325,519,-,58,-,6,18
S01000475,700,672,23,5,4,412,613,-,50,1,2,34
S01000476,609,605,3,1,2,298,559,-,28,-,3,19
S01000477,656,645,9,2,3,360,607,-,35,1,3,10
S01000478,767,743,21,3,7,426,679,-,51,-,9,28
S01000479,821,801,18,2,3,522,729,-,51,-,12,29
S01000480,653,645,6,2,4,400,589,1,57,-,2,4
S01000481,"2,032","1,990",34,8,9,"1,216","1,815",-,130,14,10,63
S01000482,859,753,82,24,8,422,617,-,50,1,59,132
S01000483,958,929,25,4,1,579,846,-,49,-,4,59
S01000484,779,711,49,19,16,349,603,-,36,1,22,117
S01000485,975,959,12,4,5,579,892,1,48,1,3,30
S01000486,"1,070",945,91,34,8,505,720,1,62,1,88,198
S01000487,608,573,31,4,6,334,522,-,39,2,10,35
S01000488,603,592,10,1,2,369,535,-,51,3,10,4
S01000489,892,819,66,7,6,452,721,-,56,4,24,87
S01000490,524,509,12,3,2,290,458,-,34,1,12,19
S01000491,518,477,32,9,4,295,406,-,27,1,21,63
S01000492,901,843,43,15,2,446,730,-,64,-,32,75
S01000493,622,598,23,1,6,353,557,-,36,2,7,20
S01000494,527,479,36,12,9,305,413,-,33,-,6,75
S01000495,875,855,18,2,5,564,759,-,92,2,2,20
S01000496,513,508,5,-,1,292,470,-,35,-,5,3
S01000497,743,736,6,1,2,458,685,-,52,-,3,3
S01000498,508,494,12,2,2,304,435,-,61,1,-,11
S01000499,984,966,14,4,1,563,881,-,87,3,-,13
S01000500,579,575,4,-,6,345,514,-,51,1,8,5
S01000501,558,547,10,1,1,362,482,-,67,-,2,7
S01000502,627,605,17,5,6,358,548,-,50,8,5,16
S01000503,483,478,5,-,-,254,426,-,50,2,-,5
S01000504,746,711,30,5,6,432,615,1,59,-,60,11
S01000505,708,699,8,1,5,393,651,-,47,1,3,6
S01000506,965,950,14,1,5,529,886,-,51,2,1,25
S01000507,961,936,21,4,2,635,851,-,62,3,26,19
S01000508,865,839,22,4,-,451,758,-,90,2,-,15
S01000509,"1,022",963,49,10,7,628,869,-,85,6,58,4
S01000510,643,602,27,14,3,416,522,1,49,2,54,15
S01000511,550,543,7,-,4,326,508,-,37,2,-,3
S01000512,956,931,18,7,4,575,853,-,57,4,32,10
S01000513,856,838,16,2,7,496,727,1,85,-,19,24
S01000514,904,893,10,1,7,540,781,-,98,3,7,15
S01000515,537,531,5,1,-,283,468,-,54,-,3,12
S01000516,845,839,6,-,4,521,767,-,66,-,3,9
S01000517,711,699,10,2,3,426,622,1,76,-,2,10
S01000518,932,913,12,7,2,620,815,-,99,3,3,12
S01000519,498,494,4,-,1,291,469,-,22,-,-,7
S01000520,"1,079","1,062",17,-,7,621,981,-,69,3,9,17
S01000521,903,885,14,4,14,583,775,-,103,-,7,18
S01000522,649,640,9,-,3,354,578,-,64,1,2,4
S01000523,817,798,16,3,6,505,734,-,58,3,5,17
S01000524,690,678,11,1,3,403,631,-,54,-,-,5
S01000525,"1,018",995,16,7,4,570,854,-,148,1,2,13
S01000526,974,958,13,3,4,499,856,1,90,2,10,15
S01000527,665,657,7,1,2,399,600,1,53,-,3,8
S01000528,921,906,13,2,5,493,810,-,83,-,6,22
S01000529,784,772,12,-,3,378,706,-,60,-,2,16
S01000530,468,467,1,-,1,303,408,-,41,-,2,17
S01000531,561,546,15,-,4,328,498,1,52,-,7,3
S01000532,769,735,29,5,2,414,638,-,65,1,49,16
S01000533,705,692,11,2,2,502,549,-,138,3,2,13
S01000534,734,707,25,2,-,422,635,-,57,-,20,22
S01000535,983,957,22,4,2,634,850,-,90,2,27,14
S01000536,477,471,6,-,2,254,413,-,57,-,-,7
S01000537,"1,009",987,20,2,7,642,878,-,102,4,9,16
S01000538,707,697,10,-,8,468,639,-,46,-,8,14
S01000539,961,916,41,4,8,510,814,1,59,5,67,15
S01000540,712,703,6,3,6,457,659,-,44,-,4,5
S01000541,571,551,15,5,4,307,493,-,31,1,20,26
S01000542,625,614,10,1,2,385,550,-,59,2,11,3
S01000543,803,795,8,-,2,553,692,1,108,-,-,2
S01000544,652,636,12,4,3,382,500,1,135,3,1,12
S01000545,720,680,34,6,2,389,591,-,43,-,66,20
S01000546,818,801,15,2,10,539,729,-,75,-,12,2
S01000547,525,517,8,-,1,340,445,-,69,1,1,9
S01000548,"1,049","1,028",13,8,4,645,923,-,93,-,14,19
S01000549,"1,187","1,165",19,3,1,835,"1,016",-,137,3,3,28
S01000550,460,451,8,1,1,305,386,-,64,-,8,2
S01000551,870,858,12,-,4,516,758,-,83,2,5,22
S01000552,528,517,11,-,1,368,437,-,74,-,7,10
S01000553,862,841,18,3,8,643,724,-,115,1,7,15
S01000554,639,611,26,2,6,430,504,-,66,1,39,29
S01000555,826,802,21,3,5,516,723,1,79,1,3,19
S01000556,781,756,19,6,3,535,640,-,103,3,17,18
S01000557,880,855,16,9,4,621,704,-,107,2,30,37
S01000558,533,512,17,4,3,353,443,-,44,-,17,29
S01000559,650,624,24,2,3,386,559,-,52,-,20,19
S01000560,"1,031",954,59,18,6,663,800,-,93,4,67,67
S01000561,990,954,28,8,7,634,792,-,107,2,42,47
S01000562,807,787,16,4,6,503,661,-,81,3,17,45
S01000563,"1,109",949,132,28,18,519,664,-,70,3,168,204
S01000564,882,745,103,34,6,409,564,-,53,2,97,166
S01000565,754,740,13,1,4,493,661,1,47,-,23,22
S01000566,825,774,42,9,3,454,605,-,77,-,74,69
S01000567,794,762,26,6,7,511,646,-,94,1,13,40
S01000568,510,504,6,-,6,346,447,-,51,3,5,4
S01000569,737,730,6,1,3,200,716,-,9,1,-,11
S01000570,866,859,6,1,8,235,830,1,4,1,-,30
S01000571,789,784,5,-,-,242,770,-,4,2,2,11
S01000572,696,691,4,1,2,199,673,-,6,2,-,15
S01000573,528,519,9,-,-,155,501,-,3,-,-,24
S01000574,745,737,7,1,2,183,721,-,-,-,4,20
S01000575,624,621,3,-,3,173,606,-,8,1,2,7
S01000576,535,533,2,-,2,158,507,-,6,-,5,17
S01000577,555,553,2,-,1,171,541,-,7,-,3,4
S01000578,618,616,1,1,1,196,608,-,1,1,2,6
S01000579,865,859,6,-,1,218,840,-,2,-,-,23
S01000580,933,931,2,-,4,234,903,-,3,3,2,22
S01000581,688,686,1,1,1,204,671,-,3,-,-,14
S01000582,618,610,8,-,1,232,608,-,1,1,1,7
S01000583,891,883,8,-,7,283,844,1,12,6,8,20
S01000584,814,807,7,-,1,295,789,-,3,2,3,17
S01000585,"1,173","1,164",9,-,6,422,"1,136",-,16,-,9,12
S01000586,705,704,1,-,3,244,686,-,14,-,-,5
S01000587,637,632,5,-,2,230,631,-,3,-,-,3
S01000588,558,556,2,-,2,178,540,-,13,1,-,4
S01000589,685,683,2,-,1,204,655,1,16,5,-,8
S01000590,826,820,5,1,11,247,800,3,9,1,1,12
S01000591,760,759,-,1,1,277,739,-,2,4,-,15
S01000592,853,851,2,-,5,297,835,-,9,1,-,8
S01000593,"1,484","1,474",9,1,8,406,"1,418",-,4,4,20,38
S01000594,"1,281","1,268",12,1,4,345,"1,218",-,13,7,7,36
S01000595,741,739,2,-,-,223,720,-,3,2,-,16
S01000596,784,781,3,-,9,201,757,4,10,5,2,6
S01000597,945,942,3,-,2,296,931,-,7,1,-,6
S01000598,"1,285","1,275",9,1,10,373,"1,239",3,7,-,2,34
S01000599,"1,112","1,106",5,1,2,347,"1,042",-,19,2,4,45
S01000600,760,753,7,-,-,254,736,-,10,-,4,10
S01000601,"1,204","1,195",7,2,3,344,"1,151",-,14,2,2,35
S01000602,719,713,6,-,-,266,691,-,12,-,2,14
S01000603,990,985,5,-,5,307,959,-,17,2,-,12
S01000604,963,958,5,-,2,350,933,-,18,-,-,12
S01000605,801,789,10,2,4,301,770,-,9,2,-,20
S01000606,824,807,13,4,2,321,771,2,5,16,5,25
S01000607,736,734,2,-,4,281,716,-,6,1,5,8
S01000608,"1,152","1,124",25,3,3,465,"1,051",-,12,6,22,61
S01000609,"1,009",996,13,-,2,460,967,1,8,3,7,23
S01000610,781,763,17,1,3,316,713,-,3,2,18,45
S01000611,595,586,7,2,2,226,568,-,13,-,11,3
S01000612,"1,017","1,003",9,5,3,453,944,-,20,5,22,26
S01000613,"1,023","1,011",9,3,2,334,979,-,13,-,6,25
S01000614,661,653,8,-,1,271,630,-,11,8,-,12
S01000615,784,770,13,1,3,328,751,-,9,2,7,15
S01000616,"1,403","1,352",42,9,2,533,"1,261",-,21,-,25,96
S01000617,651,648,3,-,1,267,633,-,10,-,3,5
S01000618,799,788,10,1,2,329,774,-,10,1,6,8
S01000619,665,658,6,1,1,266,624,-,11,2,5,23
S01000620,"1,123","1,100",17,6,1,434,"1,076",-,3,4,14,26
S01000621,"1,053","1,039",10,4,1,430,"1,000",-,15,-,18,20
S01000622,720,710,10,-,1,299,698,1,5,2,5,9
S01000623,742,739,3,-,2,358,708,-,12,1,12,9
S01000624,594,575,16,3,-,238,542,-,3,4,12,33
S01000625,609,597,12,-,1,261,559,-,9,-,14,27
S01000626,768,757,7,4,1,315,706,1,26,11,6,18
S01000627,822,816,4,2,3,353,797,-,13,-,4,8
S01000628,556,543,5,8,2,216,517,-,13,1,6,19
S01000629,886,880,6,-,1,291,857,-,8,3,5,13
S01000630,721,712,7,2,2,292,698,-,8,1,1,13
S01000631,582,578,4,-,-,263,569,-,4,3,2,4
S01000632,531,524,7,-,1,237,513,-,4,-,3,11
S01000633,515,514,1,-,6,183,507,-,4,-,-,4
S01000634,704,699,5,-,1,325,682,-,6,4,3,9
S01000635,628,623,3,2,-,233,612,-,11,3,-,2
S01000636,506,506,-,-,2,217,483,-,5,-,1,17
S01000637,622,620,2,-,3,222,597,-,13,-,-,12
S01000638,579,575,4,-,3,194,555,-,8,1,4,11
S01000639,622,616,4,2,1,224,605,-,3,-,-,14
S01000640,709,702,7,-,1,310,666,-,24,-,-,19
S01000641,793,791,2,-,2,292,766,-,12,4,-,11
S01000642,888,881,4,3,2,349,851,-,15,2,6,14
S01000643,659,653,6,-,4,233,635,-,11,1,6,6
S01000644,694,692,2,-,2,308,663,-,20,3,-,8
S01000645,955,949,5,1,2,417,918,-,12,1,3,21
S01000646,769,766,1,2,1,332,738,-,12,4,1,14
S01000647,756,751,5,-,4,337,732,2,15,-,-,7
S01000648,853,841,12,-,6,372,811,3,5,6,11,17
S01000649,585,579,5,1,5,226,554,1,14,2,2,12
S01000650,689,676,11,2,-,363,666,-,5,2,7,9
S01000651,854,833,17,4,6,327,799,1,18,2,7,27
S01000652,758,753,4,1,5,330,736,3,9,1,2,7
S01000653,962,944,17,1,12,414,913,3,17,1,10,18
S01000654,937,922,14,1,-,408,895,-,13,-,7,22
S01000655,750,733,15,2,3,348,705,-,9,1,19,16
S01000656,768,750,16,2,6,360,696,5,19,2,22,24
S01000657,775,739,33,3,5,336,704,-,16,2,15,38
S01000658,572,541,27,4,3,225,521,-,7,-,13,31
S01000659,"1,288","1,279",7,2,8,554,"1,234",-,35,2,11,6
S01000660,"1,006",997,6,3,6,412,963,2,16,6,5,14
S01000661,801,781,20,-,1,326,767,-,9,-,13,12
S01000662,713,710,1,2,1,256,689,-,10,-,-,14
S01000663,776,769,5,2,3,348,737,-,17,3,12,7
S01000664,825,818,6,1,6,380,792,-,6,4,4,19
S01000665,649,635,13,1,2,266,624,-,7,-,7,11
S01000666,518,512,6,-,1,210,484,-,23,-,1,10
S01000667,960,948,12,-,1,387,929,-,16,-,4,11
S01000668,811,804,7,-,4,360,790,-,13,-,1,7
S01000669,800,793,6,1,9,341,751,1,17,1,7,23
S01000670,643,638,5,-,-,249,627,-,7,1,-,8
S01000671,579,575,4,-,3,218,551,-,11,1,11,5
S01000672,688,683,4,1,5,285,662,-,19,-,2,5
S01000673,705,699,6,-,2,269,686,4,11,-,-,4
S01000674,"1,047","1,037",9,1,4,435,"1,002",1,18,-,15,11
S01000675,693,690,2,1,3,243,670,2,16,2,-,3
S01000676,450,447,3,-,2,186,426,-,9,-,-,15
S01000677,852,843,9,-,4,398,809,-,15,-,8,20
S01000678,878,871,5,2,6,369,838,-,18,2,9,11
S01000679,734,717,12,5,1,301,706,-,13,-,10,5
S01000680,937,929,7,1,4,418,892,-,9,2,7,27
S01000681,952,934,16,2,7,378,886,-,9,8,18,31
S01000682,745,738,7,-,3,282,699,-,10,3,9,24
S01000683,522,518,2,2,1,219,489,-,8,1,8,16
S01000684,717,697,16,4,1,299,661,-,14,7,12,23
S01000685,891,875,13,3,4,358,832,2,8,6,10,33
S01000686,735,709,21,5,2,303,652,2,10,2,33,36
S01000687,805,797,7,1,2,359,764,-,12,6,12,11
S01000688,710,703,4,3,1,319,689,-,7,2,-,12
S01000689,639,633,4,2,2,233,609,-,13,2,-,15
S01000690,968,962,5,1,3,406,917,-,18,-,9,24
S01000691,790,785,5,-,1,340,760,-,17,1,2,10
S01000692,714,673,34,7,6,282,609,-,4,1,78,22
S01000693,977,944,29,4,6,425,899,-,9,3,36,30
S01000694,676,673,3,-,3,300,661,-,10,3,-,2
S01000695,765,748,16,1,-,317,711,-,12,-,20,22
S01000696,739,722,15,2,5,336,693,-,8,-,17,21
S01000697,919,907,11,1,2,317,885,-,26,-,-,8
S01000698,600,593,6,1,-,278,570,-,8,-,4,18
S01000699,613,606,6,1,1,298,582,1,11,-,10,9
S01000700,783,776,6,1,5,331,752,2,14,-,3,12
S01000701,"1,004",994,10,-,2,460,985,-,11,-,2,6
S01000702,507,504,2,1,-,207,487,-,10,-,2,8
S01000703,720,709,11,-,2,349,689,-,8,-,21,2
S01000704,955,942,12,1,6,373,919,-,13,10,-,13
S01000705,"1,107","1,098",9,-,5,392,"1,082",-,9,1,4,11
S01000706,834,828,6,-,7,346,802,-,15,1,4,12
S01000707,600,600,-,-,2,229,585,-,2,-,-,13
S01000708,554,549,4,1,2,223,530,-,15,-,-,9
S01000709,"1,004",991,11,2,5,390,969,-,16,-,1,18
S01000710,"1,072","1,061",11,-,6,450,"1,024",1,16,4,11,16
S01000711,501,498,3,-,6,140,493,1,3,-,-,4
S01000712,604,598,6,-,10,177,584,3,6,2,-,9
S01000713,726,720,6,-,1,215,717,-,3,-,-,6
S01000714,966,963,3,-,26,262,929,11,-,2,4,20
S01000715,641,635,6,-,16,196,625,5,4,3,-,4
S01000716,516,503,13,-,10,145,501,-,1,-,3,11
S01000717,873,868,5,-,17,290,843,2,3,-,-,25
S01000718,766,763,3,-,10,229,738,1,10,8,3,6
S01000719,623,618,3,2,10,140,611,5,-,1,-,6
S01000720,765,762,2,1,10,146,755,2,1,1,-,6
S01000721,678,672,6,-,24,165,652,7,6,-,7,6
S01000722,829,822,5,2,149,132,763,48,-,-,-,18
S01000723,452,450,2,-,76,65,413,35,2,2,-,-
S01000724,761,752,8,1,140,135,684,63,5,-,3,6
S01000725,584,581,3,-,17,121,564,3,5,1,3,8
S01000726,744,737,5,2,149,127,631,87,4,3,1,18
S01000727,591,587,3,1,6,191,585,-,2,-,-,4
S01000728,641,636,5,-,5,175,631,1,3,-,3,3
S01000729,483,480,3,-,4,121,477,-,2,-,-,4
S01000730,436,430,6,-,3,101,421,-,-,8,3,4
S01000731,558,552,6,-,4,178,549,4,-,1,-,4
S01000732,531,528,3,-,5,197,507,2,5,2,3,12
S01000733,661,653,7,1,6,184,641,-,2,-,1,17
S01000734,812,806,6,-,13,154,773,4,-,1,6,28
S01000735,438,431,5,2,2,115,432,-,2,-,-,4
S01000736,728,723,4,1,5,173,707,4,9,1,4,3
S01000737,461,458,1,2,5,148,447,2,2,2,1,7
S01000738,442,439,2,1,12,104,417,4,7,1,3,10
S01000739,716,715,1,-,29,185,695,5,3,1,1,11
S01000740,648,640,8,-,15,136,627,3,5,-,1,12
S01000741,769,766,3,-,12,173,736,5,10,-,-,18
S01000742,629,625,4,-,11,96,600,2,2,-,8,17
S01000743,883,872,11,-,23,196,836,8,5,2,3,29
S01000744,717,710,7,-,16,178,690,3,1,5,11,7
S01000745,697,693,4,-,16,174,662,8,8,1,6,12
S01000746,745,738,6,1,9,232,711,1,7,1,4,21
S01000747,540,535,5,-,11,135,504,8,3,-,13,12
S01000748,450,446,4,-,3,121,437,-,4,1,-,8
S01000749,516,511,4,1,7,143,490,1,4,3,-,18
S01000750,676,675,1,-,10,175,663,5,2,-,-,6
S01000751,704,703,1,-,8,127,688,3,2,-,1,10
S01000752,932,920,11,1,12,279,899,7,9,-,6,11
S01000753,575,572,3,-,3,144,564,1,-,-,-,10
S01000754,767,763,4,-,28,153,731,10,6,1,8,11
S01000755,692,688,4,-,126,120,614,62,-,1,5,10
S01000756,"1,027","1,014",7,6,25,205,984,8,2,-,8,25
S01000757,754,749,4,1,8,206,726,1,4,-,5,18
S01000758,"1,257","1,252",4,1,20,215,"1,210",6,10,1,-,30
S01000759,958,954,4,-,37,262,905,24,6,2,5,16
S01000760,508,508,-,-,4,138,492,-,2,-,-,14
S01000761,599,596,3,-,7,103,593,3,2,-,-,1
S01000762,593,593,-,-,7,136,581,2,3,-,-,7
S01000763,736,731,5,-,10,146,700,2,3,-,11,20
S01000764,651,645,4,2,7,142,621,2,4,-,-,24
S01000765,765,758,7,-,6,120,739,-,3,1,1,21
S01000766,688,684,3,1,10,145,670,-,1,2,-,15
S01000767,611,603,8,-,7,179,592,2,4,2,-,11
S01000768,759,751,6,2,12,206,716,1,1,2,-,39
S01000769,766,758,5,3,5,157,735,1,2,5,-,23
S01000770,663,658,4,1,8,221,655,-,1,-,-,7
S01000771,917,907,9,1,7,150,873,2,6,-,-,36
S01000772,630,621,7,2,6,103,600,1,1,3,-,25
S01000773,814,810,4,-,9,177,795,3,1,-,-,15
S01000774,765,753,12,-,2,131,743,-,1,1,-,20
S01000775,793,786,6,1,7,146,736,2,1,-,-,54
S01000776,560,560,-,-,7,94,551,2,1,-,-,6
S01000777,300,296,3,1,9,84,283,5,-,1,3,8
S01000778,463,460,2,1,5,54,447,-,5,1,-,10
S01000779,754,748,6,-,12,150,726,5,2,1,1,19
S01000780,809,807,-,2,5,224,794,1,6,2,-,6
S01000781,794,792,1,1,8,127,755,1,3,2,-,33
S01000782,671,670,1,-,6,117,649,1,2,-,-,19
S01000783,454,452,2,-,4,94,446,-,2,-,-,6
S01000784,793,790,3,-,11,132,761,1,2,-,-,29
S01000785,700,698,2,-,18,175,681,5,4,2,-,8
S01000786,727,721,5,1,7,120,709,2,1,-,4,11
S01000787,491,479,7,5,10,91,457,5,1,5,10,13
S01000788,651,649,1,1,6,145,643,1,-,-,-,7
S01000789,724,720,4,-,20,162,700,8,2,1,6,7
S01000790,503,499,4,-,5,53,485,3,2,-,-,13
S01000791,596,594,2,-,21,131,576,7,1,-,1,11
S01000792,653,652,-,1,6,153,636,-,4,-,2,11
S01000793,650,645,5,-,25,144,621,8,5,2,5,9
S01000794,843,839,4,-,23,200,806,9,10,4,-,14
S01000795,908,904,4,-,23,181,883,2,6,-,3,14
S01000796,414,411,2,1,7,90,398,1,1,6,-,8
S01000797,430,429,1,-,5,141,418,-,-,2,-,10
S01000798,462,460,1,1,5,158,454,1,1,-,-,6
S01000799,"1,574","1,569",5,-,10,233,"1,523",2,7,-,1,41
S01000800,933,924,7,2,18,201,903,1,4,1,6,18
S01000801,623,620,3,-,23,127,597,6,-,1,6,13
S01000802,748,745,3,-,31,191,720,9,5,-,5,9
S01000803,959,950,8,1,24,181,921,1,2,11,4,20
S01000804,888,872,15,1,36,206,823,14,3,1,1,46
S01000805,784,784,-,-,10,188,752,4,1,1,-,26
S01000806,794,791,3,-,37,129,759,16,3,2,-,14
S01000807,751,742,9,-,38,134,678,16,4,2,8,43
S01000808,731,725,6,-,30,111,701,3,1,-,3,23
S01000809,591,588,3,-,50,110,543,17,2,-,5,24
S01000810,710,704,6,-,54,134,664,23,4,1,6,12
S01000811,780,778,2,-,77,121,735,35,1,-,2,7
S01000812,"1,276","1,258",15,3,104,244,"1,181",45,6,2,17,25
S01000813,754,749,5,-,64,163,700,31,1,6,7,9
S01000814,750,738,12,-,74,189,672,18,4,6,21,29
S01000815,497,486,10,1,31,119,459,12,1,1,18,6
S01000816,553,548,5,-,47,132,513,12,2,1,12,13
S01000817,891,886,5,-,81,166,848,24,2,2,5,10
S01000818,880,858,20,2,69,138,767,31,4,1,29,48
S01000819,869,857,12,-,48,175,808,4,1,1,16,39
S01000820,548,546,2,-,52,80,503,21,4,3,-,17
S01000821,819,798,18,3,53,130,718,13,3,-,28,57
S01000822,507,500,4,3,39,116,468,14,5,-,12,8
S01000823,486,474,11,1,36,108,447,15,-,-,17,7
S01000824,731,730,1,-,52,133,709,8,6,-,2,6
S01000825,716,713,3,-,39,126,662,11,8,-,12,23
S01000826,604,600,3,1,41,113,578,11,4,-,1,10
S01000827,713,710,2,1,31,137,673,12,7,-,-,21
S01000828,903,895,8,-,49,146,845,16,6,1,5,30
S01000829,676,675,1,-,99,124,606,45,2,-,3,20
S01000830,846,841,5,-,100,149,790,31,3,-,3,19
S01000831,816,810,6,-,255,121,638,158,8,2,2,8
S01000832,912,910,2,-,132,153,840,45,4,3,-,20
S01000833,"1,099","1,086",13,-,6,354,"1,043",4,4,-,3,45
S01000834,934,929,5,-,7,313,910,3,5,-,5,11
S01000835,739,735,2,2,2,281,724,-,4,5,-,6
S01000836,755,745,9,1,1,260,719,-,3,-,24,9
S01000837,936,899,28,9,4,368,848,3,12,6,30,37
S01000838,608,608,-,-,2,209,599,-,7,-,-,2
S01000839,"1,290","1,279",9,2,6,461,"1,233",-,9,-,18,30
S01000840,654,637,16,1,3,225,609,1,4,1,23,16
S01000841,951,935,12,4,5,404,889,-,8,9,18,27
S01000842,852,848,3,1,7,298,822,-,10,1,7,12
S01000843,880,873,7,-,4,294,839,1,11,2,9,18
S01000844,766,759,6,1,7,286,708,-,13,3,19,23
S01000845,518,515,3,-,5,173,498,4,6,2,-,8
S01000846,653,650,3,-,5,223,629,1,8,2,6,7
S01000847,942,925,16,1,5,354,881,2,7,4,15,33
S01000848,642,636,6,-,1,231,630,3,1,-,-,8
S01000849,457,457,-,-,1,151,443,-,7,1,-,6
S01000850,682,668,12,2,3,248,629,-,10,2,25,16
S01000851,699,697,2,-,7,246,677,1,1,-,-,20
S01000852,709,703,6,-,4,237,696,-,1,1,5,6
S01000853,529,525,3,1,6,214,488,2,14,3,6,16
S01000854,815,807,8,-,1,345,786,-,4,-,19,6
S01000855,701,691,7,3,4,232,692,-,-,4,1,4
S01000856,496,490,6,-,4,200,480,-,4,1,8,3
S01000857,481,476,5,-,3,175,472,-,4,-,-,5
S01000858,874,866,6,2,2,306,842,-,13,-,1,18
S01000859,"1,089","1,085",4,-,3,328,"1,060",-,6,3,4,16
S01000860,831,817,13,1,1,339,793,-,3,-,27,8
S01000861,630,625,4,1,1,238,613,-,4,1,10,2
S01000862,509,509,-,-,-,169,496,-,4,-,2,7
S01000863,523,519,3,1,4,238,505,-,8,-,3,7
S01000864,"1,128","1,121",7,-,5,359,"1,086",1,2,5,-,34
S01000865,"1,047","1,030",15,2,5,345,"1,004",1,8,7,19,8
S01000866,827,817,6,4,3,357,790,1,7,3,7,19
S01000867,841,832,5,4,4,322,806,-,6,-,8,21
S01000868,674,663,8,3,1,249,648,-,-,-,23,3
S01000869,556,550,6,-,1,216,522,-,8,5,18,3
S01000870,820,809,7,4,3,341,755,-,12,5,24,24
S01000871,799,788,7,4,6,273,771,1,14,-,3,10
S01000872,780,777,2,1,3,252,763,-,8,5,-,4
S01000873,"3,004","2,961",39,4,33,"1,073","2,824",15,31,14,22,98
S01000874,478,476,2,-,7,176,463,-,8,-,-,7
S01000875,"1,345","1,334",11,-,4,378,"1,318",1,3,3,2,18
S01000876,663,651,12,-,3,212,631,-,8,4,4,16
S01000877,650,647,2,1,4,250,622,-,8,6,-,14
S01000878,548,546,2,-,4,193,544,-,-,-,1,3
S01000879,927,922,5,-,7,237,891,1,8,2,1,24
S01000880,772,768,3,1,10,169,755,3,5,-,-,9
S01000881,623,619,4,-,2,218,611,-,4,2,-,6
S01000882,859,847,9,3,9,295,819,5,7,-,6,22
S01000883,789,786,3,-,11,268,763,-,8,2,-,16
S01000884,566,554,9,3,6,180,546,-,2,2,-,16
S01000885,472,469,3,-,1,158,451,-,6,-,-,15
S01000886,637,629,7,1,1,225,608,-,4,3,2,20
S01000887,700,694,6,-,4,230,684,1,7,-,4,4
S01000888,644,639,5,-,1,210,603,-,6,1,-,34
S01000889,670,665,5,-,3,220,645,-,6,1,4,14
S01000890,719,710,8,1,5,249,695,-,6,1,-,17
S01000891,901,893,7,1,10,215,847,-,10,3,8,33
S01000892,532,529,3,-,2,100,509,-,3,-,-,20
S01000893,608,608,-,-,2,128,584,-,6,1,-,17
S01000894,481,479,1,1,3,141,461,-,4,-,6,10
S01000895,890,887,3,-,5,283,858,2,6,3,-,21
S01000896,479,477,2,-,1,102,468,-,-,-,-,11
S01000897,666,665,1,-,2,195,651,-,10,-,5,-
S01000898,516,511,4,1,2,184,505,-,6,-,-,5
S01000899,804,796,6,2,4,367,773,-,11,6,11,3
S01000900,617,612,4,1,2,202,595,1,10,3,-,8
S01000901,592,587,2,3,1,193,571,-,13,2,-,6
S01000902,908,901,7,-,1,333,884,-,13,-,9,2
S01000903,"1,001",996,5,-,5,353,973,-,17,1,-,10
S01000904,680,671,8,1,-,275,654,-,11,-,8,7
S01000905,677,671,6,-,4,248,646,-,20,-,6,5
S01000906,527,520,6,1,1,215,506,-,12,-,2,7
S01000907,722,709,10,3,2,209,689,-,8,-,18,7
S01000908,736,721,15,-,1,265,688,1,10,5,19,13
S01000909,927,921,6,-,4,283,893,-,17,1,5,11
S01000910,817,808,7,2,1,311,801,-,5,2,2,7
S01000911,"1,013","1,006",6,1,4,318,968,-,12,6,6,21
S01000912,635,631,4,-,3,267,624,2,8,-,-,1
S01000913,593,592,1,-,3,206,570,-,9,-,7,7
S01000914,691,690,1,-,-,125,676,-,1,1,-,13
S01000915,880,869,6,5,5,255,850,1,11,2,2,14
S01000916,"1,018","1,014",4,-,3,361,991,-,13,1,5,8
S01000917,662,658,4,-,4,244,650,-,8,-,-,4
S01000918,545,539,6,-,-,137,526,-,9,1,-,9
S01000919,619,616,3,-,3,278,606,2,8,-,1,2
