,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S01001959,562,47,5,481,1,0,1,6,21
S01001960,919,188,27,471,3,11,55,34,130
S01001961,1112,168,22,728,10,15,35,28,106
S01001962,905,50,2,737,4,5,11,21,75
S01001963,914,59,11,566,3,15,12,51,197
S01001964,737,51,3,583,0,4,7,29,60
S01001965,762,22,6,638,0,7,5,42,42
S01001966,1556,124,16,1045,3,4,31,108,225
S01001967,650,33,6,520,2,4,11,47,27
S01001968,854,136,13,573,8,18,20,20,66
S01001969,620,30,2,500,0,6,13,19,50
S01001970,630,136,8,404,2,4,13,3,60
S01001971,779,44,1,623,5,1,17,44,44
S01001972,711,106,15,498,5,8,20,5,54
S01001973,679,46,6,580,0,0,2,14,31
S01001974,850,168,26,464,5,16,45,8,118
S01001975,848,175,21,527,11,6,21,12,75
S01001976,837,145,23,460,6,13,39,26,125
S01001977,840,44,5,657,2,6,5,45,76
S01001978,1395,85,8,1069,4,8,12,76,133
S01001979,710,166,13,419,2,9,28,8,65
S01001980,833,111,20,533,3,21,38,16,91
S01001981,933,205,12,462,4,15,48,15,172
S01001982,396,16,2,317,2,4,0,22,33
S01001983,702,153,19,371,5,7,56,7,84
S01001984,944,92,16,668,1,10,19,32,106
S01001985,764,41,4,658,2,3,6,10,40
S01001986,635,58,22,331,3,12,29,37,143
S01001987,829,265,20,390,2,14,39,7,92
S01001988,801,43,2,691,1,5,4,15,40
S01001989,880,98,7,704,6,2,11,4,48
S01001990,954,261,26,398,6,10,82,21,150
S01001991,834,52,6,663,0,6,33,33,41
S01001992,847,163,10,427,5,6,39,16,181
S01001993,727,136,18,418,6,27,36,3,83
S01001994,897,172,40,499,5,19,54,29,79
S01001995,653,33,2,545,1,1,2,25,44
S01001996,825,221,32,384,8,15,55,13,97
S01001997,793,56,9,618,2,3,10,25,70
S01001998,743,34,5,605,1,1,8,24,65
S01001999,739,218,24,321,9,19,51,12,85
S01002000,768,26,2,642,0,0,9,32,57
S01002001,786,94,11,434,6,11,33,88,109
S01002002,733,223,26,318,3,14,44,7,98
S01002003,850,69,3,733,4,2,10,2,27
S01002004,812,113,19,485,2,18,39,37,99
S01002005,773,28,13,642,4,4,8,45,29
S01002006,888,60,8,748,5,4,3,9,51
S01002007,956,92,18,473,1,11,59,83,219
S01002008,932,195,23,516,5,31,47,15,100
S01002009,864,198,10,400,9,9,63,18,157
S01002010,520,125,21,238,7,14,36,12,67
S01002011,1057,76,5,864,4,4,11,20,73
S01002012,825,125,20,461,6,25,48,28,112
S01002013,798,191,25,394,1,16,48,13,110
S01002014,869,269,15,377,6,10,62,10,120
S01002015,822,40,2,757,1,2,3,3,14
S01002016,589,78,19,334,1,14,35,27,81
S01002017,1143,49,5,968,2,4,9,41,65
S01002018,802,36,0,723,1,7,5,9,21
S01002019,815,247,20,319,7,19,74,17,112
S01002020,557,90,5,217,5,4,75,43,118
S01002021,1002,48,10,829,3,7,10,33,62
S01002022,984,97,13,814,4,4,12,1,39
S01002023,776,196,25,382,3,22,46,18,84
S01002024,712,169,21,379,8,11,40,7,77
S01002025,901,104,22,530,3,23,44,47,128
S01002026,663,46,3,576,1,4,8,4,21
S01002027,1198,299,22,511,5,18,83,31,229
S01002028,2533,816,76,754,22,25,150,75,615
S01002029,770,241,23,329,10,14,50,5,98
S01002030,731,100,16,389,5,22,59,36,104
S01002031,688,52,13,447,0,7,16,47,106
S01002032,771,132,27,394,2,33,46,15,122
S01002033,772,74,17,493,2,18,22,49,97
S01002034,779,197,9,362,7,11,51,20,122
S01002035,730,35,7,629,1,2,9,11,36
S01002036,891,77,10,494,1,12,36,82,179
S01002037,677,206,26,278,6,15,47,20,79
S01002038,517,153,8,230,2,10,30,14,70
S01002039,694,99,3,516,3,8,10,1,54
S01002040,610,86,18,340,6,7,27,53,73
S01002041,888,192,23,447,3,21,58,28,116
S01002042,958,97,9,788,3,7,12,1,41
S01002043,719,40,8,603,2,4,12,4,46
S01002044,635,26,1,567,0,0,1,19,21
S01002045,1058,77,9,850,5,10,11,30,66
S01002046,567,65,19,335,5,13,41,23,66
S01002047,854,175,23,440,6,21,53,17,119
S01002048,879,266,21,309,7,14,70,23,169
S01002049,1121,240,26,550,6,26,75,38,160
S01002050,738,68,7,581,4,3,17,0,58
S01002051,763,37,4,690,3,1,3,13,12
S01002052,875,115,14,420,3,22,65,86,150
S01002053,994,238,40,318,9,42,98,39,210
S01002054,650,139,18,306,4,7,34,26,116
S01002055,918,69,5,781,2,0,6,6,49
S01002056,907,58,11,757,5,4,18,13,41
S01002057,908,88,6,714,3,24,8,12,53
S01002058,1040,200,31,498,3,18,83,60,147
S01002059,684,77,32,373,1,5,45,30,121
S01002060,751,154,28,301,5,17,77,31,138
S01002061,705,149,17,326,10,13,52,21,117
S01002062,568,32,4,486,2,3,6,11,24
S01002063,1186,208,28,585,3,24,107,38,193
S01002064,1130,117,67,614,2,16,53,61,200
S01002065,984,220,20,408,4,34,92,11,195
S01002066,1064,198,16,406,9,9,72,30,324
S01002067,885,76,13,704,4,4,10,16,58
S01002068,937,105,21,465,3,18,41,71,213
S01002069,626,70,5,480,7,8,9,11,36
S01002070,658,112,12,314,4,15,52,46,103
S01002071,686,131,7,288,6,5,49,37,163
S01002072,1135,132,15,881,8,17,13,7,62
S01002073,644,86,18,343,1,14,35,37,110
S01002074,670,40,2,589,3,2,9,8,17
S01002075,917,107,25,597,6,16,30,41,95
S01002076,846,180,17,400,4,15,79,23,128
S01002077,783,62,11,661,6,2,9,5,27
S01002078,1068,100,6,871,3,7,15,12,54
S01002079,1036,165,29,534,7,20,85,44,152
S01002080,996,87,9,793,6,5,27,7,62
S01002081,758,133,32,413,2,16,50,23,89
S01002082,848,114,15,541,5,12,13,46,102
S01002083,545,33,0,477,1,1,4,13,16
S01002084,796,108,32,388,2,17,28,39,182
S01002085,745,116,23,328,4,18,77,39,140
S01002086,631,129,7,247,10,3,59,20,156
S01002087,1053,203,21,497,8,24,61,32,207
S01002088,968,104,7,791,5,5,12,5,39
S01002089,1014,110,18,814,2,5,15,8,42
S01002090,1058,83,4,911,3,2,9,3,43
S01002091,825,119,24,432,8,19,61,38,124
S01002092,1027,133,13,805,8,7,11,7,43
S01002093,990,210,20,441,1,17,94,54,153
S01002094,717,56,4,566,1,5,13,31,41
S01002095,581,76,8,422,0,8,13,6,48
S01002096,1441,135,12,1174,7,6,10,7,90
S01002097,782,46,3,687,1,3,14,0,28
S01002098,724,47,5,639,0,3,11,3,16
S01002099,853,158,40,471,7,16,55,13,93
S01002100,564,59,6,450,0,9,6,10,24
S01002101,1119,95,8,657,4,16,81,54,204
S01002102,628,33,3,510,0,2,15,31,34
S01002103,616,40,4,525,3,5,4,9,26
S01002104,1429,137,10,609,4,8,73,53,535
S01002105,978,183,13,681,2,11,13,9,66
S01002106,955,187,20,305,3,22,82,27,309
S01002107,507,28,1,452,1,1,5,9,10
S01002108,1200,198,12,426,7,22,112,44,379
S01002109,936,201,24,416,6,32,72,25,160
S01002110,692,132,8,437,9,11,24,9,62
S01002111,1045,82,7,893,3,6,17,3,34
S01002112,1098,155,18,848,6,4,14,14,39
S01002113,742,69,2,635,2,7,4,4,19
S01002114,697,82,5,553,5,5,14,5,28
S01002115,1079,235,35,575,13,21,57,22,121
S01002116,890,88,6,743,2,5,11,11,24
S01002117,732,134,8,318,5,17,81,26,143
S01002118,1164,206,9,522,10,12,77,64,264
S01002119,594,24,3,522,1,1,1,18,24
S01002120,715,76,4,568,2,3,9,16,37
S01002121,651,27,4,572,2,1,2,9,34
S01002122,965,130,17,735,9,6,20,2,46
S01002123,997,96,14,835,4,2,7,0,39
S01002124,957,77,9,787,3,3,16,27,35
S01002125,1102,147,18,829,3,11,18,13,63
S01002126,601,32,2,539,1,3,10,0,14
S01002127,728,93,10,581,0,9,8,0,27
S01002128,771,160,15,314,5,13,93,43,128
S01002129,1025,147,11,567,6,16,95,40,143
S01002130,553,27,2,488,2,3,5,3,23
S01002131,821,150,19,311,2,21,107,46,165
S01002132,802,45,8,666,6,6,8,24,39
S01002133,998,201,21,544,8,27,49,10,138
S01002134,590,45,7,507,1,2,1,4,23
S01002135,868,116,14,675,7,4,15,2,35
S01002136,780,150,14,474,4,8,24,8,98
S01002137,859,62,5,741,2,2,6,4,37
S01002138,722,41,8,595,3,8,7,22,38
S01002139,675,64,4,550,3,4,5,4,41
S01002140,803,47,4,658,2,2,11,40,39
S01002141,730,137,9,504,1,0,19,9,51
S01002142,1088,95,11,884,7,12,11,16,52
S01002143,731,32,2,648,2,3,7,20,17
S01002144,706,111,7,514,3,7,9,3,52
S01002145,1002,281,16,478,15,23,53,15,121
S01002146,1000,132,22,628,5,14,45,55,99
S01002147,903,39,6,769,1,4,21,20,43
S01002148,888,106,13,686,8,12,13,4,46
S01002149,1018,98,10,786,4,5,31,41,43
S01002150,703,92,12,512,4,2,23,13,45
S01002151,1544,242,28,817,5,31,94,138,189
S01002152,843,120,10,563,4,5,17,13,111
S01002153,501,31,5,426,2,1,9,10,17
S01002154,822,50,11,658,0,4,14,42,43
S01002155,946,57,9,672,4,4,21,71,108
S01002156,727,207,25,307,3,23,44,11,107
S01002157,765,192,8,465,4,5,36,3,52
S01002158,800,145,13,497,1,14,28,10,92
S01002159,714,144,13,396,4,16,46,25,70
S01002160,891,97,7,586,4,9,39,62,87
S01002161,779,195,12,343,3,22,60,31,113
S01002162,1010,78,4,821,3,5,6,18,75
S01002163,1050,160,21,600,1,17,64,97,90
S01002164,804,50,3,713,5,2,12,5,14
S01002165,878,60,6,737,6,6,10,22,31
S01002166,818,281,15,372,14,16,40,5,75
S01002167,622,33,6,541,2,3,6,15,16
S01002168,1022,219,17,567,5,20,42,18,134
S01002169,850,153,12,525,3,12,31,11,103
S01002170,880,50,6,750,1,5,15,8,45
S01002171,603,38,3,534,1,4,4,14,5
S01002172,704,28,6,636,1,5,7,3,18
S01002173,971,112,15,733,2,13,14,15,67
S01002174,882,172,22,518,8,15,40,11,96
S01002175,990,133,16,580,5,13,57,87,99
S01002176,765,75,2,654,4,8,6,4,12
S01002177,798,156,21,459,3,7,32,17,103
S01002178,877,212,26,470,8,15,42,24,80
S01002179,667,30,5,587,4,3,13,8,17
S01002180,585,165,10,259,7,11,41,17,75
S01002181,793,68,11,596,3,13,19,34,49
S01002182,772,232,19,376,6,15,49,6,69
S01002183,860,134,22,502,1,16,45,79,61
S01002184,763,83,7,615,3,4,13,1,37
S01002185,941,49,10,689,3,6,15,111,58
S01002186,733,149,13,374,4,23,67,26,77
S01002187,910,257,15,427,11,22,45,12,121
S01002188,770,71,5,608,4,4,25,4,49
S01002189,663,92,19,400,2,14,43,33,60
S01002190,844,152,17,432,4,17,82,40,100
S01002191,787,38,3,693,1,5,6,12,29
S01002192,876,49,2,763,2,5,11,9,35
S01002193,910,93,11,718,2,4,16,0,66
S01002194,816,29,5,738,1,1,10,12,20
S01002195,1113,225,24,624,6,19,44,41,130
S01002196,637,75,2,510,0,2,4,7,37
S01002197,685,70,12,459,1,5,16,66,56
S01002198,792,115,10,454,5,17,37,48,106
S01002199,821,201,17,414,4,30,42,22,91
S01002200,1096,133,17,826,5,8,15,11,81
S01002201,1060,249,30,554,5,24,48,14,136
S01002202,853,213,29,338,6,25,60,32,150
S01002203,471,94,9,243,4,19,35,15,52
S01002204,708,54,3,536,1,6,11,35,62
S01002205,733,159,13,426,5,18,29,12,71
S01002206,1019,157,19,506,4,24,50,99,160
S01002207,812,71,8,641,0,6,13,11,62
S01002208,680,173,18,278,5,17,61,11,117
S01002209,936,108,16,498,8,14,46,131,115
S01002210,552,142,9,308,6,10,20,12,45
S01002211,638,25,1,557,3,5,6,14,27
S01002212,1126,76,5,909,3,8,22,52,51
S01002213,824,71,16,707,1,5,3,7,14
S01002214,764,200,13,423,6,7,35,24,56
S01002215,1135,141,5,895,10,7,23,2,52
S01002216,1700,178,30,915,4,27,51,294,201
S01002217,1275,122,19,643,1,28,68,134,260
S01002218,562,130,4,256,5,17,31,26,93
S01002219,689,87,3,520,0,3,7,8,61
S01002220,782,105,12,599,4,5,6,4,47
S01002221,958,107,16,576,5,14,45,92,103
S01002222,870,101,5,672,7,5,15,5,60
S01002223,717,75,6,579,3,5,8,1,40
S01002224,912,121,18,696,4,2,12,5,54
S01002225,991,154,25,472,4,21,99,56,160
S01002226,1074,200,21,663,4,24,36,31,95
S01002227,823,48,2,677,0,5,10,31,50
S01002228,983,51,16,826,3,3,23,7,54
S01002229,720,103,17,525,4,4,23,2,42
S01002230,1027,175,26,626,7,22,50,37,84
S01002231,1166,260,29,562,3,13,65,11,223
S01002232,846,28,5,734,1,6,9,28,35
S01002233,952,113,11,598,12,15,32,67,104
S01002234,787,102,18,476,8,4,41,60,78
S01002235,1009,161,20,620,2,16,36,49,105
S01002236,948,41,5,801,2,1,8,32,58
S01002237,1346,73,8,1021,2,11,15,142,74
S01002238,564,25,3,501,0,1,8,11,15
S01002239,949,51,5,791,3,1,11,34,53
S01002240,970,93,8,632,1,13,38,57,128
S01002241,1019,47,9,793,2,5,15,49,99
S01002242,797,97,10,624,2,7,15,2,40
S01002243,842,94,11,484,3,16,53,64,117
S01002244,926,97,14,549,4,11,34,133,84
S01002245,2145,312,54,1152,13,51,62,195,306
S01002246,947,116,13,567,3,14,44,77,113
S01002247,843,35,7,729,3,0,12,23,34
S01002248,1130,179,24,762,6,4,33,17,105
S01002249,968,96,11,653,1,12,35,76,84
S01002250,925,91,7,723,8,9,19,31,37
S01002251,888,76,7,758,4,2,6,4,31
S01002252,755,130,6,509,7,7,21,11,64
S01002253,962,45,3,843,1,5,6,13,46
S01002254,908,99,15,552,1,6,35,75,125
S01002255,1690,233,43,1048,11,23,61,79,192
S01002256,1134,155,16,778,5,15,27,18,120
S01002257,714,82,6,554,4,5,11,12,40
S01002258,888,85,15,593,3,8,19,89,76
S01002259,542,35,4,466,0,5,7,4,21
S01002260,870,119,7,670,4,3,9,0,58
S01002261,1057,93,8,896,1,10,7,14,28
S01002262,807,55,1,676,3,1,8,9,54
S01002263,833,121,9,617,0,5,11,7,63
S01002264,852,127,11,641,1,4,11,8,49
S01002265,1661,85,9,1310,4,4,23,102,124
S01002266,749,77,12,485,1,11,29,80,54
S01002267,1073,51,5,693,1,3,12,94,214
S01002268,750,69,4,641,3,1,5,1,26
S01002269,989,203,13,622,6,12,42,7,84
S01002270,1718,178,23,946,12,23,72,208,256
S01002271,813,71,7,673,3,3,13,4,39
S01002272,775,89,18,579,2,4,14,21,48
S01002273,782,100,14,498,5,14,25,53,73
S01002274,1287,136,18,885,6,20,30,74,118
S01002275,1478,80,8,1109,1,13,31,96,140
S01002276,884,137,17,654,3,6,15,1,51
S01002277,929,61,3,688,4,4,12,69,88
S01002278,1116,44,4,891,1,3,11,77,85
S01002279,1505,66,8,1116,8,5,19,129,154
S01002280,792,86,7,625,3,6,10,16,39
S01002281,647,23,0,553,2,1,7,25,36
S01002282,266,6,3,210,1,3,2,23,18
S01002283,715,74,10,537,3,3,9,12,67
S01002284,2078,182,21,1536,6,14,43,111,165
S01002285,998,90,13,664,3,10,17,86,115
S01002286,756,106,8,541,6,13,30,7,45
S01002287,692,94,13,518,7,6,14,8,32
S01002288,1345,217,23,856,11,13,36,91,98
S01002289,1223,136,26,849,8,12,24,47,121
S01002290,1000,136,21,637,10,12,34,57,93
S01002291,762,45,12,580,7,3,12,42,61
S01002292,1119,149,14,771,5,11,24,62,83
S01002293,797,34,3,670,1,1,12,35,41
S01002294,675,101,9,495,6,3,16,6,39
S01002295,727,103,6,560,2,2,12,7,35
S01002297,868,36,8,762,4,4,7,9,38
S01002298,712,104,13,492,2,14,13,15,59
S01002299,781,63,5,670,1,1,11,9,21
S01002300,774,125,9,597,3,2,11,5,22
S01002301,2097,127,10,1506,8,6,31,240,169
S01002302,982,32,2,800,4,6,10,57,71
S01002303,785,47,5,645,1,4,11,27,45
S01002304,1693,276,18,1022,10,38,59,116,154
S01002305,863,92,7,605,9,17,17,38,78
S01002306,477,69,7,346,1,3,8,11,32
S01002307,1086,144,16,677,3,16,35,85,110
S01002308,961,137,10,724,4,7,16,15,48
S01002309,749,39,4,609,4,4,8,47,34
S01002310,1014,86,17,704,1,10,25,50,121
S01002311,881,158,6,658,5,7,8,0,39
S01002312,690,44,1,556,5,0,10,33,41
S01002313,734,130,10,534,2,1,8,11,38
S01002314,884,125,6,663,0,7,26,14,43
S01002315,569,50,2,458,2,3,15,8,31
S01002316,732,132,13,524,4,3,9,13,34
S01002317,3728,587,70,2264,18,51,94,211,433
S01002318,901,83,11,614,3,8,26,84,72
S01002319,1094,62,7,915,3,3,13,36,55
S01002320,619,85,7,464,4,6,16,13,24
S01002321,1128,59,4,780,4,8,25,114,134
S01002322,664,86,18,481,3,4,11,15,46
S01002323,785,90,19,592,4,4,15,25,36
S01002324,755,28,0,581,4,3,14,56,69
S01002325,1784,190,32,1224,7,15,41,123,152
S01002326,1025,106,11,757,4,6,13,64,64
S01002327,827,145,14,625,3,3,16,1,20
S01002328,730,60,19,609,3,3,7,12,17
S01002329,680,52,7,601,2,5,5,1,7
S01002330,766,64,5,646,2,4,11,13,21
S01002331,701,79,3,576,4,3,12,0,24
S01002332,870,88,13,733,8,6,4,6,12
S01002333,752,69,12,633,3,8,9,4,14
S01002334,961,162,23,691,3,8,28,8,38
S01002335,916,110,19,727,7,5,9,7,32
S01002336,1021,114,7,840,6,4,13,8,29
S01002337,893,90,12,719,7,5,11,7,42
S01002338,476,56,6,393,1,1,5,3,11
S01002339,621,43,0,561,4,1,2,2,8
S01002340,643,54,1,578,1,0,1,2,6
S01002341,530,54,1,462,4,1,1,0,7
S01002342,622,68,1,540,3,0,5,2,3
S01002343,745,105,0,619,7,2,4,0,8
S01002344,519,33,2,460,4,4,8,3,5
S01002345,811,102,3,651,8,6,12,15,14
S01002346,888,129,6,715,10,3,12,0,13
S01002347,731,97,1,611,4,1,4,5,8
S01002348,936,178,4,720,9,1,9,0,15
S01002349,980,85,3,869,4,2,7,0,10
S01002350,918,157,2,728,5,0,7,0,19
S01002351,773,166,4,568,8,4,7,1,15
S01002352,892,105,3,750,6,2,5,1,20
S01002353,837,86,2,732,3,0,5,0,9
S01002354,872,72,0,773,3,0,7,6,11
S01002355,849,65,3,750,2,0,4,6,19
S01002356,872,61,1,745,3,3,7,8,44
S01002357,625,37,3,559,2,0,1,11,12
S01002358,496,90,1,392,4,0,4,0,5
S01002359,869,47,1,792,2,2,2,5,18
S01002360,653,36,2,574,2,1,1,8,29
S01002361,654,46,2,582,1,0,3,2,18
S01002362,805,94,2,688,2,0,7,0,12
S01002363,1090,82,3,982,1,0,3,3,16
S01002364,661,40,4,583,1,4,4,11,14
S01002365,616,119,3,472,3,0,9,0,10
S01002366,893,70,0,796,6,3,3,2,13
S01002367,1074,110,2,925,2,3,16,0,16
S01002368,930,101,3,796,7,2,4,8,9
S01002369,621,85,1,509,1,0,3,8,14
S01002370,733,95,0,622,1,0,6,2,7
S01002371,709,81,5,601,4,1,7,2,8
S01002372,761,56,2,685,5,2,4,2,5
S01002373,660,108,2,536,7,1,0,0,6
S01002374,795,142,2,630,2,1,2,3,13
S01002375,892,54,2,798,4,1,8,0,25
S01002376,892,72,5,784,5,2,6,0,18
S01002377,871,64,7,774,4,3,1,5,13
S01002378,512,48,2,433,3,0,4,6,16
S01002379,1164,63,3,1059,2,6,8,4,19
S01002380,810,42,6,723,3,0,9,10,17
S01002381,895,64,2,790,5,3,8,3,20
S01002382,633,38,6,573,0,1,3,3,9
S01002383,525,43,5,444,3,0,2,15,13
S01002384,520,30,4,428,5,0,10,1,42
S01002385,776,25,1,730,1,0,5,2,12
S01002386,1002,50,9,909,4,4,12,0,14
S01002387,726,49,2,655,1,3,7,1,8
S01002388,737,53,1,659,1,4,4,4,11
S01002389,693,63,1,614,0,2,6,0,7
S01002390,1156,89,7,1013,1,4,11,0,31
S01002391,1456,118,11,1268,9,8,11,3,28
S01002392,1884,125,18,1676,0,1,11,2,51
S01002393,1027,81,0,908,3,1,11,2,21
S01002394,797,32,4,740,0,0,2,0,19
S01002395,730,61,8,645,5,1,4,0,6
S01002396,693,42,3,615,2,2,0,3,26
S01002397,1752,114,17,1561,8,2,16,0,34
S01002398,760,58,6,673,4,0,7,0,12
S01002399,984,31,2,932,1,0,5,0,13
S01002400,807,44,2,745,3,1,3,0,9
S01002401,1141,97,9,997,1,7,2,4,24
S01002402,817,42,3,728,4,2,6,12,20
S01002403,743,35,0,679,2,0,3,6,18
S01002404,1010,53,5,923,4,2,6,1,16
S01002405,702,58,1,626,2,0,3,1,11
S01002406,894,39,2,831,0,1,3,4,14
S01002407,683,33,7,613,5,3,2,3,17
S01002408,829,35,4,763,2,2,3,1,19
S01002409,656,51,2,586,1,1,3,3,9
S01002410,498,37,3,442,0,1,2,1,12
S01002411,2706,178,20,2418,12,4,19,10,45
S01002412,918,53,8,819,1,3,7,3,24
S01002413,628,43,5,565,2,1,3,1,8
S01002414,623,28,2,572,2,0,2,9,8
S01002415,721,33,0,673,0,1,5,0,9
S01002416,572,31,5,518,1,5,4,0,8
S01002417,631,40,4,575,0,0,5,3,4
S01002418,886,35,3,821,3,1,5,3,15
S01002419,554,40,2,494,2,3,1,0,12
S01002420,651,23,0,617,1,1,1,0,8
S01002421,814,55,4,738,0,2,3,0,12
S01002422,548,39,3,489,0,0,1,0,16
S01002423,890,43,3,806,4,4,5,11,14
S01002424,838,38,5,764,3,3,1,4,20
S01002425,916,37,4,846,1,6,5,2,15
S01002426,667,38,0,574,1,2,6,25,21
S01002427,821,53,2,754,0,2,3,1,6
S01002428,536,24,1,503,1,1,2,1,3
S01002429,747,35,1,695,2,6,1,2,5
S01002430,669,38,1,597,2,0,7,5,19
S01002431,859,40,3,796,1,2,2,5,10
S01002432,1456,155,16,1193,8,1,16,40,27
S01002433,558,19,2,520,2,0,0,10,5
S01002434,926,47,2,847,3,3,2,6,16
S01002435,664,37,0,599,2,0,2,8,16
S01002436,761,35,5,697,2,2,4,3,13
S01002437,799,48,2,701,1,2,9,12,24
S01002438,677,35,2,622,3,1,7,5,2
S01002439,742,23,4,701,1,0,6,3,4
S01002440,867,25,1,803,1,6,9,9,13
S01002441,634,35,2,586,1,1,2,2,5
S01002442,472,36,3,375,2,1,3,21,31
S01002443,630,20,2,587,3,5,2,4,7
S01002444,511,13,0,481,2,1,1,0,13
S01002445,911,31,2,811,0,2,7,9,49
S01002446,972,74,4,836,1,2,11,6,38
S01002447,694,29,4,635,1,1,2,15,7
S01002448,548,25,2,500,1,0,5,4,11
S01002449,645,19,6,607,1,1,0,0,11
S01002450,709,42,4,622,0,2,5,5,29
S01002451,1003,60,6,885,4,2,11,9,26
S01002452,538,23,4,493,0,2,2,10,4
S01002453,688,37,6,632,1,1,0,2,9
S01002454,725,33,1,678,0,0,0,1,12
S01002455,553,32,7,497,3,1,1,2,10
S01002456,1022,35,5,955,2,4,4,5,12
S01002457,750,31,2,696,0,3,5,3,10
S01002458,931,40,2,841,1,4,8,14,21
S01002459,501,36,2,404,2,0,6,29,22
S01002460,839,34,2,778,1,3,3,10,8
S01002461,478,22,2,447,0,0,1,2,4
S01002462,700,44,1,586,4,2,4,22,37
S01002463,895,47,5,809,6,4,8,3,13
S01002464,574,28,1,533,0,0,2,7,3
S01002465,712,39,2,652,0,0,6,0,13
S01002466,1010,60,7,920,3,0,5,11,4
S01002467,488,33,2,428,1,3,6,2,13
S01002468,674,36,0,598,0,0,6,23,11
S01002469,638,21,3,597,1,2,1,8,5
S01002470,833,43,1,769,2,3,5,2,8
S01002471,556,14,0,524,0,2,1,4,11
S01002472,581,28,5,521,2,1,3,4,17
S01002473,921,76,3,783,1,2,7,34,15
S01002474,406,24,7,339,1,2,4,17,12
S01002475,550,21,1,503,4,2,4,4,11
S01002476,861,42,3,730,0,5,9,26,46
S01002477,813,33,3,732,5,1,7,20,12
S01002478,895,32,1,843,1,1,3,9,5
S01002479,720,24,6,644,3,2,9,8,24
S01002480,536,24,2,494,0,1,0,7,8
S01002481,934,34,4,881,2,4,1,0,8
S01002482,1021,59,9,854,3,5,8,53,30
S01002483,672,28,2,621,5,1,0,8,7
S01002484,810,36,2,727,0,0,5,18,22
S01002485,830,73,4,725,3,0,7,1,17
S01002486,604,19,2,551,0,0,4,24,4
S01002487,481,27,3,412,0,6,1,9,23
S01002488,647,31,1,579,0,3,2,13,18
S01002489,600,8,0,570,1,6,2,7,6
S01002490,568,21,1,534,0,1,1,6,4
S01002491,476,17,0,449,2,1,1,1,5
S01002492,942,61,6,843,1,1,7,8,15
S01002493,920,24,2,845,2,8,3,23,13
S01002494,627,23,1,580,1,0,1,0,21
S01002495,627,24,3,586,1,2,5,2,4
S01002496,1243,42,12,1103,4,2,6,21,53
S01002497,824,27,6,741,1,3,8,16,22
S01002498,631,31,4,577,6,3,3,0,7
S01002499,909,37,0,850,2,2,8,1,9
S01002500,567,20,2,493,1,1,3,40,7
S01002501,478,32,6,423,3,3,2,6,3
S01002502,822,35,4,738,3,1,6,18,17
S01002503,684,65,3,571,1,2,3,28,11
S01002504,1387,64,9,1281,2,2,6,2,21
S01002505,738,34,0,634,1,5,9,42,13
S01002506,810,40,1,744,2,2,2,5,14
S01002507,589,22,1,552,1,0,4,1,8
S01002508,869,46,3,792,3,1,6,3,15
S01002509,1149,63,12,989,1,1,12,50,21
S01002510,958,31,2,900,2,0,3,10,10
S01002511,483,22,2,447,2,4,1,1,4
S01002512,633,44,5,489,3,1,5,71,15
S01002513,1685,93,10,1467,5,11,8,40,51
S01002514,532,24,0,480,0,0,1,15,12
S01002515,602,27,3,559,2,0,1,6,4
S01002516,787,35,4,722,2,0,5,5,14
S01002517,583,14,0,559,2,1,4,1,2
S01002518,1069,53,6,970,3,1,9,5,22
S01002519,806,41,0,725,1,1,9,12,17
S01002520,592,28,1,531,2,1,2,18,9
S01002521,583,43,1,516,0,2,1,6,14
S01002522,733,49,4,655,2,2,0,7,14
S01002523,682,44,2,622,0,1,4,2,7
S01002524,566,27,1,518,2,3,2,12,1
S01002525,686,33,0,638,0,1,1,10,3
S01002526,527,29,2,479,1,2,4,0,10
S01002527,822,39,2,735,2,3,1,6,34
S01002528,807,51,3,738,3,1,2,1,8
S01002529,1147,51,5,1030,2,1,8,18,32
S01002530,647,24,2,608,2,0,6,2,3
S01002531,811,47,1,745,2,3,5,3,5
S01002532,693,27,3,652,1,1,3,3,3
S01002533,819,52,1,747,2,0,5,2,10
S01002534,935,37,0,874,5,2,3,2,12
S01002535,901,32,5,823,2,6,4,13,16
S01002536,626,26,4,542,3,2,3,36,10
S01002537,554,16,0,521,0,0,7,0,10
S01002538,927,35,3,862,1,1,5,5,15
S01002539,781,40,2,721,2,2,6,0,8
S01002540,555,23,1,503,2,5,2,2,17
S01002541,1917,135,13,1712,8,2,6,9,32
S01002542,684,25,0,643,0,0,3,3,10
S01002543,532,25,3,490,0,0,3,6,5
S01002544,857,35,5,790,5,4,5,1,12
S01002545,786,39,5,696,3,1,5,12,25
S01002546,796,38,6,725,1,2,11,1,12
S01002547,786,24,3,716,2,3,10,1,27
S01002548,1047,49,3,962,3,4,7,0,19
S01002549,570,16,2,542,2,0,0,0,8
S01002550,464,12,3,436,2,0,2,1,8
S01002551,551,19,4,511,2,1,3,5,6
S01002552,583,16,0,541,2,4,5,7,8
S01002553,755,29,3,707,1,4,2,1,8
S01002554,632,44,1,558,5,2,8,1,13
S01002555,740,28,6,692,1,3,1,5,4
S01002556,752,28,0,698,0,0,6,5,15
S01002557,775,33,0,724,0,3,3,3,9
S01002558,530,18,2,498,1,0,3,2,6
