Scotland's Census 2011 - National Records of Scotland
"Table KS401SC - Dwellings, household spaces and accommodation type"
All dwellings; All household spaces
, , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday accommodation,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01000375,280,280,-,-,280,275,-,5,43,188,46,1,2,-,-
S01000376,351,351,-,-,351,350,-,1,70,150,126,4,1,-,-
S01000377,363,363,-,-,363,353,1,9,269,33,18,13,3,-,27
S01000378,198,198,-,-,198,196,1,1,65,60,72,1,-,-,-
S01000379,259,259,-,-,259,248,1,10,207,38,11,-,1,1,1
S01000380,373,373,-,-,373,366,1,6,256,63,40,13,1,-,-
S01000381,610,610,-,-,610,601,2,7,424,110,42,31,2,1,-
S01000382,342,342,-,-,342,321,5,16,239,54,42,2,2,3,-
S01000383,486,486,-,-,486,470,3,13,211,216,5,18,9,-,27
S01000384,373,373,-,-,373,322,50,1,253,63,33,13,8,1,2
S01000385,269,269,-,-,269,267,-,2,18,138,43,68,2,-,-
S01000386,545,545,-,-,545,535,1,9,258,125,22,126,8,6,-
S01000387,383,383,-,-,383,372,-,11,193,124,39,24,2,1,-
S01000388,397,397,-,-,397,387,-,10,293,71,16,5,9,1,2
S01000389,311,311,-,-,311,306,2,3,163,134,5,9,-,-,-
S01000390,356,356,-,-,356,349,-,7,58,135,75,83,5,-,-
S01000391,345,345,-,-,345,330,1,14,83,48,66,136,12,-,-
S01000392,322,322,-,-,322,314,1,7,168,88,14,43,7,2,-
S01000393,407,407,-,-,407,395,2,10,140,162,28,65,5,6,1
S01000394,303,303,-,-,303,296,-,7,76,134,7,80,2,1,3
S01000395,322,322,-,-,322,309,4,9,235,65,12,6,3,1,-
S01000396,448,448,-,-,448,441,-,7,23,121,158,144,2,-,-
S01000397,455,455,-,-,455,448,-,7,112,248,9,84,2,-,-
S01000398,886,886,-,-,886,851,7,28,724,105,27,15,13,2,-
S01000399,318,318,-,-,318,305,1,12,85,29,18,160,16,10,-
S01000400,450,450,-,-,450,426,6,18,67,75,75,215,16,2,-
S01000401,362,362,-,-,362,348,1,13,302,44,10,3,1,2,-
S01000402,345,345,-,-,345,340,-,5,94,182,15,54,-,-,-
S01000403,373,373,-,-,373,361,-,12,88,131,32,107,11,4,-
S01000404,293,293,-,-,293,290,-,3,79,103,71,34,6,-,-
S01000405,201,201,-,-,201,192,1,8,145,42,13,-,-,-,1
S01000406,277,277,-,-,277,266,1,10,9,73,47,146,-,1,1
S01000407,276,276,-,-,276,270,-,6,26,138,40,71,1,-,-
S01000408,247,247,-,-,247,242,-,5,116,126,1,3,1,-,-
S01000409,237,237,-,-,237,234,-,3,113,97,21,5,1,-,-
S01000410,283,283,-,-,283,273,2,8,207,52,17,2,3,-,2
S01000411,290,290,-,-,290,275,2,13,194,74,19,-,1,1,1
S01000412,336,336,-,-,336,321,1,14,189,80,54,8,3,2,-
S01000413,363,363,-,-,363,350,2,11,218,103,25,9,7,1,-
S01000414,292,292,-,-,292,277,2,13,178,59,33,20,2,-,-
S01000415,425,425,-,-,425,414,-,11,224,135,27,36,2,-,1
S01000416,362,362,-,-,362,359,-,3,161,150,26,24,-,1,-
S01000417,442,442,-,-,442,432,-,10,188,179,37,34,2,1,1
S01000418,325,325,-,-,325,304,13,8,252,54,10,3,5,-,1
S01000419,546,546,-,-,546,531,1,14,421,106,12,1,3,1,2
S01000420,556,556,-,-,556,537,6,13,319,140,44,37,10,6,-
S01000421,305,305,-,-,305,292,-,13,247,39,12,4,3,-,-
S01000422,401,401,-,-,401,388,2,11,221,98,57,18,1,6,-
S01000423,388,388,-,-,388,375,2,11,293,74,17,1,1,1,1
S01000424,296,296,-,-,296,289,2,5,148,141,3,1,2,-,1
S01000425,380,380,-,-,380,369,5,6,178,120,66,12,3,1,-
S01000426,316,316,-,-,316,301,-,15,238,67,7,2,2,-,-
S01000427,351,351,-,-,351,348,-,3,76,78,23,170,2,2,-
S01000428,283,283,-,-,283,275,-,8,146,91,6,37,2,1,-
S01000429,413,413,-,-,413,409,-,4,102,254,3,54,-,-,-
S01000430,221,221,-,-,221,216,2,3,100,59,8,52,2,-,-
S01000431,362,361,1,-,363,347,-,16,66,114,19,140,13,11,-
S01000432,451,451,-,-,451,435,-,16,281,144,7,12,4,3,-
S01000433,253,253,-,-,253,248,-,5,47,99,33,65,7,1,1
S01000434,253,253,-,-,253,253,-,-,25,170,52,6,-,-,-
S01000435,227,227,-,-,227,224,-,3,33,175,7,11,1,-,-
S01000436,239,239,-,-,239,237,-,2,59,169,2,7,2,-,-
S01000437,416,416,-,-,416,412,-,4,60,267,9,71,9,-,-
S01000438,222,222,-,-,222,215,1,6,203,18,1,-,-,-,-
S01000439,341,341,-,-,341,316,1,24,258,67,12,3,-,1,-
S01000440,462,462,-,-,462,450,2,10,347,67,41,2,3,1,1
S01000441,419,419,-,-,419,394,16,9,240,104,48,21,5,-,1
S01000442,345,345,-,-,345,326,-,19,262,77,1,1,1,-,3
S01000443,254,254,-,-,254,241,1,12,206,44,2,-,-,-,2
S01000444,874,874,-,-,874,854,1,19,704,107,24,34,1,2,2
S01000445,562,562,-,-,562,516,19,27,293,163,76,19,6,4,1
S01000446,434,434,-,-,434,386,16,32,337,58,29,2,4,1,3
S01000447,314,314,-,-,314,306,-,8,157,120,19,15,-,3,-
S01000448,347,347,-,-,347,331,-,16,263,55,23,3,1,2,-
S01000449,348,348,-,-,348,329,6,13,141,104,78,14,8,3,-
S01000450,264,264,-,-,264,254,-,10,75,132,11,46,-,-,-
S01000451,387,387,-,-,387,371,-,16,269,88,24,1,2,3,-
S01000452,235,235,-,-,235,226,1,8,210,22,3,-,-,-,-
S01000453,238,238,-,-,238,225,2,11,186,46,3,-,1,-,2
S01000454,225,225,-,-,225,216,1,8,82,67,51,20,3,2,-
S01000455,360,360,-,-,360,341,1,18,218,119,17,2,4,-,-
S01000456,467,467,-,-,467,435,12,20,337,88,15,22,3,-,2
S01000457,410,410,-,-,410,392,-,18,182,73,49,92,4,10,-
S01000458,365,365,-,-,365,346,5,14,314,39,4,5,-,-,3
S01000459,518,518,-,-,518,496,3,19,163,134,64,139,12,5,1
S01000460,325,325,-,-,325,322,-,3,14,115,188,7,1,-,-
S01000461,483,483,-,-,483,463,-,20,61,124,103,161,19,14,1
S01000462,461,461,-,-,461,450,-,11,105,198,87,53,16,2,-
S01000463,303,303,-,-,303,291,-,12,81,111,102,7,-,2,-
S01000464,361,361,-,-,361,338,8,15,264,78,15,2,-,-,2
S01000465,277,277,-,-,277,272,-,5,231,39,1,1,2,3,-
S01000466,334,334,-,-,334,322,3,9,278,48,6,-,-,-,2
S01000467,313,313,-,-,313,294,5,14,93,121,70,25,1,2,1
S01000468,206,206,-,-,206,202,-,4,186,15,2,-,1,-,2
S01000469,247,247,-,-,247,246,-,1,84,108,52,3,-,-,-
S01000470,359,359,-,-,359,358,-,1,124,156,76,1,2,-,-
S01000471,329,329,-,-,329,316,-,13,232,59,14,17,3,-,4
S01000472,292,292,-,-,292,289,2,1,26,67,193,6,-,-,-
S01000473,296,296,-,-,296,292,-,4,16,66,150,64,-,-,-
S01000474,264,264,-,-,264,247,4,13,210,45,6,1,1,-,1
S01000475,319,319,-,-,319,305,6,8,14,79,195,31,-,-,-
S01000476,266,266,-,-,266,253,1,12,181,58,20,1,4,1,1
S01000477,321,321,-,-,321,311,4,6,45,171,101,4,-,-,-
S01000478,395,395,-,-,395,386,-,9,48,166,24,146,11,-,-
S01000479,404,404,-,-,404,398,-,6,80,125,89,106,4,-,-
S01000480,293,293,-,-,293,282,-,11,121,117,40,12,3,-,-
S01000481,786,786,-,-,786,756,3,27,480,260,20,22,3,-,1
S01000482,493,493,-,-,493,439,18,36,44,87,75,229,49,9,-
S01000483,548,548,-,-,548,522,-,26,97,135,40,253,22,-,1
S01000484,399,399,-,-,399,366,2,31,34,74,39,184,62,6,-
S01000485,426,426,-,-,426,417,1,8,174,192,22,33,5,-,-
S01000486,684,684,-,-,684,573,41,70,24,55,87,439,49,29,1
S01000487,286,286,-,-,286,273,1,12,56,106,19,81,23,1,-
S01000488,321,321,-,-,321,307,1,13,26,140,99,41,14,-,1
S01000489,466,466,-,-,466,451,-,15,33,104,91,235,3,-,-
S01000490,248,248,-,-,248,243,-,5,43,141,35,28,1,-,-
S01000491,266,266,-,-,266,247,11,8,6,34,17,185,23,1,-
S01000492,384,384,-,-,384,370,6,8,33,132,96,106,17,-,-
S01000493,315,315,-,-,315,295,-,20,139,113,44,16,1,2,-
S01000494,238,238,-,-,238,233,1,4,40,88,28,69,13,-,-
S01000495,357,357,-,-,357,354,-,3,153,169,25,8,2,-,-
S01000496,227,227,-,-,227,217,-,10,146,73,4,4,-,-,-
S01000497,343,343,-,-,343,332,-,11,125,136,38,31,12,-,1
S01000498,250,250,-,-,250,247,2,1,140,89,10,9,2,-,-
S01000499,444,444,-,-,444,433,-,11,182,219,20,21,1,1,-
S01000500,239,239,-,-,239,231,-,8,31,184,23,1,-,-,-
S01000501,290,290,-,-,290,288,-,2,90,125,42,33,-,-,-
S01000502,229,229,-,-,229,221,1,7,198,24,3,3,1,-,-
S01000503,201,201,-,-,201,191,1,9,183,14,2,1,-,-,1
S01000504,430,430,-,-,430,411,2,17,125,75,64,125,16,25,-
S01000505,311,311,-,-,311,298,3,10,197,74,32,4,2,1,1
S01000506,399,399,-,-,399,381,9,9,291,98,5,2,2,1,-
S01000507,492,492,-,-,492,476,2,14,50,174,156,100,5,7,-
S01000508,373,373,-,-,373,359,2,12,296,54,17,4,-,-,2
S01000509,486,486,-,-,486,467,1,18,133,238,71,36,8,-,-
S01000510,316,316,-,-,316,309,-,7,110,81,106,15,4,-,-
S01000511,241,241,-,-,241,233,-,8,147,69,22,2,1,-,-
S01000512,435,435,-,-,435,421,1,13,224,118,59,31,1,2,-
S01000513,421,421,-,-,421,396,12,13,192,121,73,28,4,3,-
S01000514,371,371,-,-,371,367,3,1,250,103,10,6,1,-,1
S01000515,214,214,-,-,214,209,-,5,182,21,6,1,-,-,4
S01000516,347,347,-,-,347,338,-,9,231,69,29,15,1,-,2
S01000517,329,329,-,-,329,318,-,11,177,105,31,14,2,-,-
S01000518,441,441,-,-,441,434,1,6,105,190,113,17,11,5,-
S01000519,205,205,-,-,205,196,2,7,177,22,2,1,1,-,2
S01000520,474,474,-,-,474,448,18,8,339,54,70,5,2,1,3
S01000521,432,432,-,-,432,415,1,16,98,219,91,19,1,4,-
S01000522,278,278,-,-,278,261,2,15,222,45,7,1,1,-,2
S01000523,352,352,-,-,352,342,2,8,88,161,87,15,1,-,-
S01000524,274,274,-,-,274,260,1,13,240,31,-,2,-,-,1
S01000525,458,458,-,-,458,416,20,22,331,97,21,3,-,1,5
S01000526,405,405,-,-,405,382,9,14,327,63,9,-,2,1,3
S01000527,268,268,-,-,268,256,1,11,233,28,2,2,2,-,1
S01000528,388,388,-,-,388,368,12,8,283,84,9,8,3,-,1
S01000529,382,382,-,-,382,325,42,15,343,26,3,3,1,-,6
S01000530,208,208,-,-,208,197,-,11,169,30,6,2,-,1,-
S01000531,290,290,-,-,290,259,21,10,163,108,15,3,-,-,1
S01000532,379,379,-,-,379,366,5,8,155,71,55,82,13,3,-
S01000533,344,344,-,-,344,319,5,20,184,106,52,2,-,-,-
S01000534,364,364,-,-,364,357,-,7,41,210,100,9,2,1,1
S01000535,461,461,-,-,461,453,1,7,100,194,127,39,-,1,-
S01000536,258,258,-,-,258,203,36,19,141,92,21,2,2,-,-
S01000537,390,390,-,-,390,372,-,18,309,46,12,19,2,1,1
S01000538,348,348,-,-,348,338,8,2,72,122,121,29,4,-,-
S01000539,568,568,-,-,568,507,32,29,86,171,118,148,22,22,1
S01000540,371,371,-,-,371,344,8,19,120,103,82,48,9,9,-
S01000541,272,272,-,-,272,266,1,5,76,83,50,50,13,-,-
S01000542,306,306,-,-,306,301,-,5,83,121,70,29,2,1,-
S01000543,341,341,-,-,341,330,2,9,212,80,47,1,-,-,1
S01000544,425,425,-,-,425,306,77,42,144,139,113,23,4,2,-
S01000545,360,360,-,-,360,328,13,19,96,110,68,69,15,2,-
S01000546,393,393,-,-,393,368,6,19,128,142,86,36,-,1,-
S01000547,258,258,-,-,258,238,5,15,179,43,20,15,1,-,-
S01000548,542,542,-,-,542,481,42,19,248,186,66,37,5,-,-
S01000549,427,427,-,-,427,426,-,1,298,112,8,8,-,1,-
S01000550,180,180,-,-,180,177,-,3,157,16,6,-,1,-,-
S01000551,464,464,-,-,464,412,32,20,259,118,29,46,8,4,-
S01000552,220,220,-,-,220,214,1,5,166,32,10,11,1,-,-
S01000553,386,386,-,-,386,378,-,8,97,137,143,9,-,-,-
S01000554,291,291,-,-,291,282,-,9,18,71,194,5,3,-,-
S01000555,418,418,-,-,418,389,19,10,82,274,32,27,2,1,-
S01000556,331,331,-,-,331,330,-,1,23,153,152,2,1,-,-
S01000557,387,387,-,-,387,380,2,5,42,218,119,5,3,-,-
S01000558,245,245,-,-,245,231,6,8,44,65,30,56,50,-,-
S01000559,321,321,-,-,321,313,-,8,22,135,100,63,-,1,-
S01000560,507,507,-,-,507,483,9,15,72,143,205,80,7,-,-
S01000561,545,545,-,-,545,512,28,5,62,105,73,277,24,4,-
S01000562,433,433,-,-,433,411,13,9,27,130,157,107,11,1,-
S01000563,570,570,-,-,570,515,3,52,33,49,125,287,43,33,-
S01000564,441,441,-,-,441,399,37,5,23,91,146,173,8,-,-
S01000565,343,343,-,-,343,324,2,17,114,109,71,43,4,1,1
S01000566,367,367,-,-,367,351,8,8,58,190,72,30,16,1,-
S01000567,380,380,-,-,380,371,2,7,76,203,61,24,13,3,-
S01000568,235,235,-,-,235,225,4,6,74,109,39,12,1,-,-
S01000569,337,337,-,-,337,334,-,3,74,178,48,33,4,-,-
S01000570,418,418,-,-,418,408,1,9,187,132,71,26,2,-,-
S01000571,458,458,-,-,458,453,-,5,57,81,13,288,12,6,1
S01000572,309,309,-,-,309,305,-,4,205,48,33,22,1,-,-
S01000573,207,207,-,-,207,204,-,3,137,45,22,2,-,1,-
S01000574,358,358,-,-,358,350,-,8,145,110,7,93,3,-,-
S01000575,314,314,-,-,314,305,-,9,50,154,51,55,1,3,-
S01000576,239,239,-,-,239,237,-,2,149,85,2,2,1,-,-
S01000577,242,242,-,-,242,237,-,5,94,90,17,37,4,-,-
S01000578,292,292,-,-,292,286,-,6,87,91,106,8,-,-,-
S01000579,333,333,-,-,333,331,-,2,231,84,8,6,4,-,-
S01000580,383,383,-,-,383,374,1,8,260,69,44,7,3,-,-
S01000581,304,304,-,-,304,297,-,7,142,120,21,18,2,1,-
S01000582,286,286,-,-,286,279,-,7,26,113,124,22,1,-,-
S01000583,388,388,-,-,388,386,-,2,141,151,75,18,1,2,-
S01000584,430,430,-,-,430,407,-,23,30,148,84,163,3,2,-
S01000585,617,617,-,-,617,588,10,19,92,161,130,211,13,10,-
S01000586,317,317,-,-,317,308,-,9,141,80,91,3,2,-,-
S01000587,320,320,-,-,320,316,-,4,41,122,131,21,1,4,-
S01000588,267,267,-,-,267,257,-,10,79,86,58,28,11,5,-
S01000589,337,337,-,-,337,328,2,7,81,161,58,27,10,-,-
S01000590,341,341,-,-,341,330,2,9,118,113,41,39,16,14,-
S01000591,348,348,-,-,348,341,-,7,184,110,16,36,2,-,-
S01000592,405,405,-,-,405,392,2,11,102,219,58,23,3,-,-
S01000593,522,522,-,-,522,504,-,18,327,160,26,4,-,3,2
S01000594,409,409,-,-,409,402,2,5,302,89,14,3,1,-,-
S01000595,327,327,-,-,327,326,-,1,185,85,15,41,1,-,-
S01000596,334,334,-,-,334,331,-,3,203,114,12,3,2,-,-
S01000597,419,419,-,-,419,415,-,4,230,183,4,2,-,-,-
S01000598,499,499,-,-,499,491,-,8,358,58,39,28,15,-,1
S01000599,498,498,-,-,498,465,16,17,287,94,62,43,10,2,-
S01000600,330,330,-,-,330,324,1,5,186,88,52,3,-,-,1
S01000601,498,497,1,-,499,483,6,10,327,101,38,12,17,-,4
S01000602,336,336,-,-,336,317,-,19,194,90,7,24,1,-,20
S01000603,415,415,-,-,415,405,4,6,282,107,22,1,-,2,1
S01000604,387,387,-,-,387,384,-,3,256,116,6,9,-,-,-
S01000605,325,325,-,-,325,317,1,7,134,94,48,21,23,4,1
S01000606,442,442,-,-,442,422,-,20,22,28,67,294,16,15,-
S01000607,359,359,-,-,359,347,-,12,230,78,8,40,3,-,-
S01000608,723,723,-,-,723,655,16,52,17,47,159,442,35,23,-
S01000609,515,515,-,-,515,505,-,10,34,64,169,243,5,-,-
S01000610,538,536,1,1,541,498,2,41,19,36,63,351,27,45,-
S01000611,309,309,-,-,309,303,-,6,18,35,118,136,2,-,-
S01000612,636,636,-,-,636,594,-,42,40,52,148,344,33,19,-
S01000613,537,537,-,-,537,526,1,10,84,123,73,229,25,2,1
S01000614,316,316,-,-,316,305,-,11,85,85,95,36,12,3,-
S01000615,483,483,-,-,483,461,2,20,57,67,80,255,21,3,-
S01000616,597,597,-,-,597,573,5,19,385,101,18,9,11,1,72
S01000617,303,303,-,-,303,294,-,9,68,175,51,6,3,-,-
S01000618,389,389,-,-,389,378,2,9,110,204,55,18,1,1,-
S01000619,296,296,-,-,296,290,-,6,63,116,57,59,1,-,-
S01000620,533,533,-,-,533,515,-,18,33,131,33,323,11,2,-
S01000621,583,583,-,-,583,560,2,21,68,85,197,216,17,-,-
S01000622,294,294,-,-,294,278,-,16,20,97,70,105,1,1,-
S01000623,290,290,-,-,290,289,-,1,9,109,157,15,-,-,-
S01000624,279,279,-,-,279,274,1,4,19,76,115,62,6,1,-
S01000625,285,285,-,-,285,276,-,9,5,70,67,141,2,-,-
S01000626,316,316,-,-,316,306,-,10,19,46,64,186,1,-,-
S01000627,407,407,-,-,407,405,-,2,15,41,259,92,-,-,-
S01000628,242,242,-,-,242,237,-,5,29,97,79,37,-,-,-
S01000629,292,292,-,-,292,286,2,4,136,69,77,7,2,-,1
S01000630,354,354,-,-,354,350,-,4,63,125,81,84,1,-,-
S01000631,293,293,-,-,293,286,-,7,27,56,93,116,-,1,-
S01000632,247,247,-,-,247,233,1,13,176,54,9,4,4,-,-
S01000633,217,217,-,-,217,212,-,5,76,71,55,14,1,-,-
S01000634,354,354,-,-,354,350,-,4,41,52,170,86,5,-,-
S01000635,256,256,-,-,256,250,-,6,17,78,151,10,-,-,-
S01000636,239,239,-,-,239,222,10,7,175,46,14,2,1,1,-
S01000637,280,280,-,-,280,268,1,11,200,62,3,5,6,-,4
S01000638,254,254,-,-,254,239,8,7,178,34,22,2,-,1,17
S01000639,290,290,-,-,290,279,-,11,122,99,56,7,3,3,-
S01000640,322,322,-,-,322,303,3,16,241,50,24,6,-,1,-
S01000641,357,357,-,-,357,343,1,13,254,49,25,28,1,-,-
S01000642,402,402,-,-,402,378,-,24,206,93,70,22,9,1,1
S01000643,296,296,-,-,296,285,3,8,193,73,18,5,5,2,-
S01000644,324,324,-,-,324,316,-,8,189,74,58,3,-,-,-
S01000645,448,448,-,-,448,426,6,16,207,120,102,16,3,-,-
S01000646,363,363,-,-,363,356,-,7,183,99,49,28,3,1,-
S01000647,371,371,-,-,371,366,1,4,52,106,170,41,2,-,-
S01000648,424,424,-,-,424,418,-,6,18,96,207,103,-,-,-
S01000649,271,271,-,-,271,249,11,11,190,57,17,5,-,1,1
S01000650,310,310,-,-,310,301,2,7,10,123,128,49,-,-,-
S01000651,428,428,-,-,428,410,1,17,106,71,67,158,19,7,-
S01000652,341,341,-,-,341,339,-,2,79,114,92,55,1,-,-
S01000653,490,490,-,-,490,472,1,17,63,113,150,136,18,10,-
S01000654,429,429,-,-,429,414,-,15,40,69,122,187,9,2,-
S01000655,384,384,-,-,384,374,-,10,24,43,109,205,3,-,-
S01000656,448,448,-,-,448,407,-,41,36,69,85,201,12,45,-
S01000657,413,413,-,-,413,401,1,11,45,106,68,186,7,1,-
S01000658,317,317,-,-,317,296,1,20,28,39,44,174,12,20,-
S01000659,632,632,-,-,632,608,1,23,230,183,98,106,13,2,-
S01000660,438,438,-,-,438,422,1,15,265,98,29,36,4,6,-
S01000661,452,452,-,-,452,432,-,20,70,96,78,187,10,11,-
S01000662,313,313,-,-,313,299,-,14,185,77,47,3,1,-,-
S01000663,326,326,-,-,326,315,-,11,82,128,53,57,6,-,-
S01000664,386,386,-,-,386,369,2,15,169,125,68,21,-,-,3
S01000665,322,322,-,-,322,310,2,10,164,75,54,25,3,1,-
S01000666,229,229,-,-,229,224,-,5,146,63,15,5,-,-,-
S01000667,473,473,-,-,473,448,8,17,125,132,141,68,4,2,1
S01000668,423,423,-,-,423,417,-,6,21,87,74,240,1,-,-
S01000669,484,484,-,-,484,456,4,24,77,82,109,159,20,37,-
S01000670,303,303,-,-,303,296,3,4,94,104,26,73,6,-,-
S01000671,257,257,-,-,257,243,5,9,102,57,52,42,4,-,-
S01000672,317,317,-,-,317,314,1,2,156,53,42,63,3,-,-
S01000673,317,317,-,-,317,310,2,5,191,84,35,6,-,1,-
S01000674,512,512,-,-,512,475,17,20,208,108,96,85,14,-,1
S01000675,311,311,-,-,311,299,1,11,214,86,6,4,-,1,-
S01000676,217,217,-,-,217,205,5,7,132,62,20,2,1,-,-
S01000677,477,477,-,-,477,439,8,30,157,64,39,186,22,8,1
S01000678,431,431,-,-,431,420,2,9,86,190,63,85,4,-,3
S01000679,400,400,-,-,400,387,-,13,24,35,71,238,30,2,-
S01000680,510,510,-,-,510,498,-,12,27,61,132,261,29,-,-
S01000681,594,594,-,-,594,550,3,41,23,36,71,393,59,12,-
S01000682,439,438,1,-,440,389,2,49,19,43,74,196,63,45,-
S01000683,269,269,-,-,269,259,2,8,58,45,55,102,9,-,-
S01000684,441,441,-,-,441,424,1,16,17,34,50,292,25,23,-
S01000685,429,429,-,-,429,423,2,4,72,106,69,144,38,-,-
S01000686,422,422,-,-,422,397,1,24,62,58,66,179,31,25,1
S01000687,401,401,-,-,401,397,-,4,34,79,220,64,2,1,1
S01000688,328,328,-,-,328,315,3,10,134,78,34,63,15,4,-
S01000689,276,276,-,-,276,260,3,13,182,80,8,5,1,-,-
S01000690,421,421,-,-,421,416,3,2,235,50,85,47,1,-,3
S01000691,389,389,-,-,389,386,-,3,60,33,209,85,1,-,1
S01000692,391,391,-,-,391,358,-,33,22,93,54,214,4,1,3
S01000693,536,536,-,-,536,502,-,34,37,104,112,266,13,1,3
S01000694,332,332,-,-,332,330,-,2,16,53,166,94,3,-,-
S01000695,371,371,-,-,371,347,1,23,79,60,98,120,13,1,-
S01000696,468,468,-,-,468,407,2,59,58,44,63,221,49,33,-
S01000697,380,380,-,-,380,372,-,8,223,89,32,5,6,-,25
S01000698,321,320,1,-,322,305,-,17,42,105,69,75,22,9,-
S01000699,269,269,-,-,269,263,1,5,38,142,41,31,12,4,1
S01000700,326,326,-,-,326,320,-,6,116,110,89,9,1,1,-
S01000701,449,449,-,-,449,437,-,12,310,83,18,25,12,1,-
S01000702,248,248,-,-,248,246,-,2,92,103,8,41,3,1,-
S01000703,347,347,-,-,347,342,-,5,37,86,150,73,-,1,-
S01000704,387,387,-,-,387,361,8,18,234,117,15,10,7,-,4
S01000705,486,486,-,-,486,479,-,7,275,97,79,29,3,2,1
S01000706,377,377,-,-,377,351,6,20,223,131,18,2,3,-,-
S01000707,278,278,-,-,278,270,1,7,163,63,46,2,3,-,1
S01000708,316,316,-,-,316,240,63,13,286,21,2,5,1,-,1
S01000709,511,511,-,-,511,482,12,17,243,123,93,44,7,-,1
S01000710,539,539,-,-,539,465,45,29,411,101,15,9,2,1,-
S01000711,249,249,-,-,249,219,26,4,174,53,11,4,5,1,1
S01000712,329,329,-,-,329,302,22,5,136,57,15,96,22,3,-
S01000713,312,312,-,-,312,302,-,10,29,191,83,6,3,-,-
S01000714,451,451,-,-,451,419,32,-,169,149,122,6,2,1,2
S01000715,406,406,-,-,406,380,11,15,35,49,81,227,12,2,-
S01000716,380,380,-,-,380,302,14,64,16,10,16,317,4,17,-
S01000717,520,520,-,-,520,466,11,43,36,61,103,303,13,4,-
S01000718,428,428,-,-,428,412,9,7,16,151,100,158,3,-,-
S01000719,315,315,-,-,315,292,10,13,152,27,36,73,26,1,-
S01000720,461,461,-,-,461,375,78,8,289,104,52,7,1,4,4
S01000721,369,369,-,-,369,314,39,16,210,116,32,6,1,1,3
S01000722,429,429,-,-,429,390,29,10,60,124,181,44,15,4,1
S01000723,266,266,-,-,266,201,54,11,192,55,10,5,2,-,2
S01000724,409,409,-,-,409,350,49,10,79,156,119,43,4,7,1
S01000725,360,360,-,-,360,271,73,16,254,70,21,2,8,-,5
S01000726,503,503,-,-,503,357,137,9,207,141,135,6,12,-,2
S01000727,293,293,-,-,293,280,2,11,20,101,50,120,2,-,-
S01000728,436,436,-,-,436,302,125,9,226,75,13,101,20,1,-
S01000729,302,302,-,-,302,277,13,12,11,73,101,104,13,-,-
S01000730,204,204,-,-,204,189,9,6,30,53,27,75,18,1,-
S01000731,340,340,-,-,340,315,6,19,12,53,23,233,19,-,-
S01000732,398,398,-,-,398,351,31,16,10,23,35,306,5,19,-
S01000733,568,568,-,-,568,405,100,63,21,24,24,456,35,8,-
S01000734,438,437,1,-,439,359,66,14,149,99,16,79,96,-,-
S01000735,323,323,-,-,323,242,50,31,20,24,22,212,43,2,-
S01000736,493,493,-,-,493,394,61,38,87,62,15,250,79,-,-
S01000737,404,404,-,-,404,273,106,25,35,29,39,268,32,1,-
S01000738,262,262,-,-,262,227,26,9,67,48,43,77,20,6,1
S01000739,419,419,-,-,419,376,30,13,111,86,30,161,23,8,-
S01000740,546,545,1,-,547,355,182,10,264,86,37,85,58,12,5
S01000741,455,455,-,-,455,403,28,24,162,69,20,91,105,8,-
S01000742,331,331,-,-,331,282,39,10,197,69,32,7,25,-,1
S01000743,394,393,1,-,395,374,6,15,175,99,22,48,49,2,-
S01000744,449,449,-,-,449,389,30,30,79,59,20,182,73,36,-
S01000745,344,344,-,-,344,320,3,21,129,40,18,101,55,1,-
S01000746,389,389,-,-,389,378,-,11,104,78,31,115,58,3,-
S01000747,336,336,-,-,336,295,21,20,71,48,30,112,69,5,1
S01000748,306,306,-,-,306,276,18,12,53,50,54,115,31,3,-
S01000749,247,247,-,-,247,233,8,6,48,61,111,18,9,-,-
S01000750,367,367,-,-,367,348,5,14,155,75,40,70,27,-,-
S01000751,321,321,-,-,321,315,-,6,171,53,31,61,3,2,-
S01000752,467,466,1,-,468,444,10,14,28,147,122,155,13,2,1
S01000753,258,258,-,-,258,256,1,1,33,71,44,108,2,-,-
S01000754,334,334,-,-,334,316,11,7,98,43,12,145,35,1,-
S01000755,502,502,-,-,502,348,130,24,261,162,42,19,12,2,4
S01000756,562,562,-,-,562,507,34,21,194,88,24,174,75,1,6
S01000757,373,373,-,-,373,348,10,15,203,81,18,57,12,-,2
S01000758,546,546,-,-,546,529,7,10,319,97,32,59,36,1,2
S01000759,483,483,-,-,483,439,8,36,133,137,93,71,47,1,1
S01000760,230,230,-,-,230,217,2,11,84,52,34,24,36,-,-
S01000761,315,315,-,-,315,283,7,25,208,16,12,28,10,-,41
S01000762,262,262,-,-,262,260,-,2,63,153,43,2,1,-,-
